"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"183","","","V1","C","","01:09:45:16","01:09:47:05","02:04:47:06","02:04:48:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"184","","","A1","C","","01:09:45:16","01:09:47:05","02:04:47:06","02:04:48:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"185","","","V1","C","","01:10:01:24","01:10:04:08","02:04:48:25","02:04:51:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"186","","","A1","C","","01:10:01:24","01:10:04:08","02:04:48:25","02:04:51:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"187","","","V1","C","","01:10:14:22","01:10:17:08","02:04:51:09","02:04:53:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"188","","","A1","C","","01:10:14:22","01:10:17:08","02:04:51:09","02:04:53:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"189","","","V1","C","","01:10:24:12","01:10:27:25","02:04:53:25","02:04:57:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"190","","","A1","C","","01:10:24:12","01:10:27:25","02:04:53:25","02:04:57:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"191","","","V1","C","","01:10:39:03","01:10:41:04","02:04:57:08","02:04:59:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"192","","","A1","C","","01:10:39:03","01:10:41:04","02:04:57:08","02:04:59:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
